Model, Scenario, Algorithm, Iteration, State, NumberOfParameters,TotalPossibleCombinations,NumberOfFaults,Overlap,SafeValue,Strength,ClassFScore,ClassPrecision,ClassRecall,ExecutionTime,FScore,NumInvalidTests,NumMultipleFaults,NumberOfResults,NumberOfTestCases,NumberOfUniqueTestCases,PctInvalidTests,PctMultipleFaults,Precision,Recall
Random4,S1,Aifl,0,COMPLETED,4,64,1,0,0,2,1,1,1,354,0.2,6,0,9,26,26,0.230769231,0,0.111111111,1
Random4,S1,IterAifl,0,COMPLETED,4,64,1,0,0,2,1,1,1,362,0.2,9,0,9,35,35,0.257142857,0,0.111111111,1
Random4,S1,FIC,0,COMPLETED,4,64,1,0,0,2,1,1,1,346,1,9,0,1,31,27,0.290322581,0,1,1
Random4,S1,Csp,0,COMPLETED,4,64,1,0,0,2,1,1,1,387,1,4,0,1,16,16,0.25,0,1,1
Random4,S1,FIC_BS,0,COMPLETED,4,64,1,0,0,2,1,1,1,348,1,10,0,1,40,33,0.25,0,1,1
Random4,S1,Ala,0,TIME_OUT,4,64,1,0,0,2,,,,,,,,,,,,,,
Random4,S1,IDD,0,COMPLETED,4,64,1,0,0,2,1,1,1,360,1,5,0,1,19,19,0.263157895,0,1,1
Random4,S1,Ben,0,COMPLETED,4,64,1,0,0,2,1,1,1,367,1,7,0,1,26,26,0.269230769,0,1,1
Random4,S1,Ict,0,COMPLETED,4,64,1,0,0,2,1,1,1,452,1,7,0,1,25,24,0.28,0,1,1
Random4,S1,Ipog,0,COMPLETED,4,64,1,0,0,2,0.545454545,1,0.375,341,0,4,0,3,16,16,0.25,0,0,0
Random4,S2,Aifl,0,COMPLETED,4,64,2,0,0,2,1,1,1,361,0.081632653,12,2,47,46,46,0.260869565,0.043478261,0.042553191,1
